loan_id,origination_month,original_balance,interest_rate,credit_score_band,ltv_band,dti_band,state,loan_purpose,occupancy_type,property_type
LN002561,2023-10-01,204852.75,3.629,750-799,<60%,40-50%,OH,Purchase,Owner-Occupied,Condo
LN002562,2022-12-01,468636.35,5.869,800+,60-70%,30-40%,NY,Purchase,Owner-Occupied,Single-Family
LN002563,2022-03-01,236257.61,5.147,700-749,60-70%,40-50%,MI,Purchase,Owner-Occupied,Single-Family
LN002564,2023-10-01,437841.68,7.755,650-699,70-80%,30-40%,MI,Purchase,Owner-Occupied,Single-Family
LN002565,2022-02-01,283219.45,4.171,600-649,60-70%,>50%,FL,Purchase,Second Home,Single-Family
LN002566,2023-12-01,143152.44,3.129,650-699,70-80%,30-40%,OH,Purchase,Owner-Occupied,Single-Family
LN002567,2024-10-01,186309.92,5.434,700-749,70-80%,30-40%,MI,Purchase,Owner-Occupied,Single-Family
LN002568,2024-03-01,317607.93,6.518,800+,60-70%,40-50%,CA,Purchase,Second Home,Multi-Unit
LN002569,2022-01-01,403277.58,8.484,650-699,60-70%,30-40%,PA,Refinance-Rate-Term,Owner-Occupied,Single-Family
LN002570,2022-08-01,476977.71,9.0,650-699,80-90%,40-50%,TX,Purchase,Owner-Occupied,Single-Family
LN002571,2023-11-01,312821.87,2.672,700-749,70-80%,30-40%,TX,Purchase,Owner-Occupied,Single-Family
LN002572,2022-06-01,182275.63,4.797,800+,90-95%,30-40%,GA,Refinance-Cashout,Owner-Occupied,Single-Family
LN002573,2023-10-01,327848.51,3.134,700-749,70-80%,40-50%,FL,Refinance-Rate-Term,Investment,Single-Family
LN002574,2024-01-01,217478.53,4.629,650-699,90-95%,30-40%,NC,Purchase,Owner-Occupied,Condo
LN002575,2023-06-01,339219.16,8.716,650-699,70-80%,<30%,NY,Purchase,Second Home,Single-Family
LN002576,2023-05-01,205852.54,3.77,700-749,70-80%,40-50%,PA,Refinance-Rate-Term,Owner-Occupied,Single-Family
LN002577,2022-12-01,91042.98,4.967,750-799,70-80%,>50%,CA,Purchase,Owner-Occupied,Single-Family
LN002578,2022-06-01,431685.57,4.129,650-699,90-95%,40-50%,MI,Purchase,Investment,Single-Family
LN002579,2024-02-01,277358.33,3.495,700-749,70-80%,40-50%,MI,Refinance-Rate-Term,Investment,Single-Family
LN002580,2024-03-01,304966.03,7.689,700-749,90-95%,>50%,FL,Purchase,Investment,Condo
LN002581,2022-08-01,399670.14,2.691,700-749,70-80%,40-50%,NY,Purchase,Owner-Occupied,Single-Family
LN002582,2023-07-01,487884.67,4.876,650-699,80-90%,>50%,IL,Purchase,Owner-Occupied,Single-Family
LN002583,2022-01-01,372008.07,5.132,800+,90-95%,30-40%,CA,Purchase,Owner-Occupied,Single-Family
LN002584,2024-05-01,310300.16,4.95,700-749,>95%,40-50%,NY,Refinance-Cashout,Owner-Occupied,Single-Family
LN002585,2024-11-01,346287.29,4.526,750-799,80-90%,<30%,IL,Purchase,Owner-Occupied,Single-Family
LN002586,2023-02-01,270521.7,7.422,700-749,70-80%,40-50%,NY,Purchase,Owner-Occupied,Single-Family
LN002587,2024-11-01,303611.44,2.5,800+,70-80%,40-50%,MI,Refinance-Rate-Term,Owner-Occupied,Multi-Unit
LN002588,2023-08-01,314486.36,5.655,700-749,70-80%,30-40%,MI,Purchase,Owner-Occupied,Single-Family
LN002589,2023-01-01,221337.47,5.721,700-749,<60%,40-50%,OH,Purchase,Owner-Occupied,Single-Family
LN002590,2022-08-01,302117.36,5.43,700-749,<60%,40-50%,GA,Purchase,Investment,Single-Family
LN002591,2023-08-01,336710.19,3.754,700-749,70-80%,40-50%,GA,Purchase,Owner-Occupied,Single-Family
LN002592,2024-09-01,351701.69,6.808,650-699,80-90%,<30%,FL,Refinance-Rate-Term,Owner-Occupied,Single-Family
LN002593,2024-02-01,343732.38,6.732,800+,<60%,40-50%,IL,Purchase,Owner-Occupied,Single-Family
LN002594,2023-09-01,166097.48,3.701,750-799,70-80%,30-40%,MI,Purchase,Owner-Occupied,Single-Family
LN002595,2022-09-01,422925.89,3.203,650-699,70-80%,40-50%,GA,Refinance-Cashout,Owner-Occupied,Condo
LN002596,2023-12-01,414628.12,2.913,650-699,90-95%,30-40%,OH,Purchase,Owner-Occupied,Condo
LN002597,2023-05-01,290385.16,5.338,600-649,60-70%,<30%,NC,Purchase,Owner-Occupied,Single-Family
LN002598,2023-12-01,345550.87,5.07,750-799,70-80%,30-40%,MI,Purchase,Owner-Occupied,Condo
LN002599,2023-09-01,278344.62,4.458,700-749,>95%,30-40%,OH,Purchase,Owner-Occupied,Single-Family
LN002600,2023-01-01,375195.77,8.122,700-749,70-80%,40-50%,TX,Purchase,Owner-Occupied,Single-Family
LN002601,2022-11-01,218572.82,4.308,800+,80-90%,<30%,NY,Purchase,Second Home,Single-Family
LN002602,2023-07-01,434246.06,5.281,700-749,90-95%,40-50%,GA,Purchase,Owner-Occupied,Single-Family
LN002603,2022-11-01,370220.76,4.709,750-799,60-70%,>50%,NC,Purchase,Owner-Occupied,Single-Family
LN002604,2023-01-01,372543.38,7.945,700-749,>95%,40-50%,OH,Purchase,Second Home,Single-Family
LN002605,2022-01-01,289494.71,2.5,750-799,80-90%,30-40%,IL,Refinance-Rate-Term,Owner-Occupied,Condo
LN002606,2023-07-01,158738.15,4.535,700-749,60-70%,30-40%,CA,Refinance-Rate-Term,Owner-Occupied,Single-Family
LN002607,2022-12-01,388393.47,5.921,700-749,70-80%,<30%,NC,Purchase,Second Home,Single-Family
LN002608,2022-08-01,162043.87,4.666,800+,70-80%,30-40%,PA,Refinance-Cashout,Owner-Occupied,Multi-Unit
LN002609,2022-08-01,389597.27,3.044,700-749,90-95%,40-50%,TX,Refinance-Rate-Term,Second Home,Single-Family
LN002610,2022-12-01,222787.28,5.265,700-749,60-70%,<30%,MI,Refinance-Rate-Term,Second Home,Single-Family
LN002611,2024-09-01,141295.13,2.568,650-699,80-90%,>50%,MI,Purchase,Owner-Occupied,Single-Family
LN002612,2024-02-01,300099.97,6.005,<600,70-80%,<30%,TX,Refinance-Cashout,Owner-Occupied,Condo
LN002613,2024-04-01,418280.06,4.38,750-799,80-90%,<30%,MI,Refinance-Cashout,Owner-Occupied,Single-Family
LN002614,2022-05-01,203439.63,4.128,700-749,80-90%,<30%,CA,Purchase,Owner-Occupied,Single-Family
LN002615,2022-08-01,459903.46,6.569,750-799,70-80%,40-50%,NY,Refinance-Rate-Term,Second Home,Single-Family
LN002616,2024-01-01,365674.05,3.495,700-749,70-80%,30-40%,MI,Refinance-Rate-Term,Owner-Occupied,Single-Family
LN002617,2024-03-01,315675.95,2.686,700-749,90-95%,<30%,TX,Purchase,Owner-Occupied,Multi-Unit
LN002618,2023-11-01,256437.57,3.634,750-799,70-80%,40-50%,MI,Purchase,Owner-Occupied,Single-Family
LN002619,2024-06-01,263410.26,8.071,700-749,80-90%,>50%,NC,Purchase,Owner-Occupied,Condo
LN002620,2023-11-01,343016.72,3.494,750-799,60-70%,30-40%,TX,Purchase,Owner-Occupied,Single-Family
LN002621,2023-08-01,384604.09,5.548,700-749,80-90%,<30%,NC,Purchase,Owner-Occupied,Single-Family
LN002622,2023-06-01,240650.38,6.265,650-699,80-90%,<30%,CA,Purchase,Owner-Occupied,Multi-Unit
LN002623,2023-06-01,219348.67,3.59,700-749,70-80%,40-50%,OH,Refinance-Rate-Term,Owner-Occupied,Single-Family
LN002624,2022-02-01,278617.32,3.592,<600,80-90%,40-50%,PA,Refinance-Cashout,Owner-Occupied,Condo
LN002625,2022-04-01,439362.87,5.27,650-699,70-80%,>50%,PA,Purchase,Owner-Occupied,Single-Family
LN002626,2024-06-01,178311.17,5.338,650-699,90-95%,30-40%,TX,Purchase,Owner-Occupied,Condo
LN002627,2024-09-01,414247.76,7.021,750-799,60-70%,<30%,CA,Purchase,Owner-Occupied,Condo
LN002628,2024-12-01,304227.98,3.846,600-649,60-70%,30-40%,MI,Refinance-Cashout,Owner-Occupied,Multi-Unit
LN002629,2023-06-01,134726.09,4.434,650-699,80-90%,40-50%,GA,Purchase,Owner-Occupied,Multi-Unit
LN002630,2023-07-01,253836.76,9.0,650-699,80-90%,30-40%,GA,Refinance-Rate-Term,Owner-Occupied,Single-Family
LN002631,2024-04-01,360966.81,2.5,<600,70-80%,>50%,TX,Purchase,Owner-Occupied,Single-Family
LN002632,2023-08-01,480181.39,2.5,<600,>95%,30-40%,NY,Purchase,Owner-Occupied,Multi-Unit
LN002633,2024-09-01,167262.73,2.925,650-699,80-90%,30-40%,NY,Purchase,Owner-Occupied,Single-Family
LN002634,2022-12-01,50000.0,6.652,650-699,>95%,30-40%,TX,Purchase,Owner-Occupied,Single-Family
LN002635,2023-03-01,169044.72,4.343,600-649,70-80%,<30%,NC,Refinance-Rate-Term,Owner-Occupied,Single-Family
LN002636,2022-02-01,413041.55,4.342,650-699,60-70%,40-50%,NY,Purchase,Second Home,Single-Family
LN002637,2024-05-01,120625.83,3.552,750-799,70-80%,30-40%,NY,Purchase,Owner-Occupied,Single-Family
LN002638,2022-10-01,449725.39,6.378,750-799,>95%,<30%,NY,Refinance-Cashout,Owner-Occupied,Condo
LN002639,2022-02-01,421480.89,2.949,700-749,70-80%,30-40%,IL,Purchase,Second Home,Single-Family
LN002640,2022-11-01,319103.62,4.128,800+,>95%,40-50%,MI,Purchase,Owner-Occupied,Single-Family
LN002641,2023-01-01,237363.47,3.612,<600,80-90%,40-50%,GA,Refinance-Cashout,Investment,Single-Family
LN002642,2022-10-01,305526.06,2.5,650-699,70-80%,30-40%,NY,Purchase,Owner-Occupied,Multi-Unit
LN002643,2023-02-01,361108.74,4.283,750-799,70-80%,40-50%,FL,Refinance-Cashout,Owner-Occupied,Single-Family
LN002644,2023-06-01,345847.65,4.911,700-749,70-80%,30-40%,CA,Refinance-Cashout,Owner-Occupied,Multi-Unit
LN002645,2022-09-01,473965.94,3.837,800+,80-90%,40-50%,TX,Purchase,Owner-Occupied,Single-Family
LN002646,2024-04-01,273989.76,4.598,800+,<60%,40-50%,NY,Purchase,Investment,Condo
LN002647,2022-03-01,169915.7,4.636,650-699,90-95%,<30%,NC,Purchase,Owner-Occupied,Condo
LN002648,2023-08-01,152271.93,4.8,800+,70-80%,40-50%,CA,Purchase,Owner-Occupied,Multi-Unit
LN002649,2022-06-01,132270.87,3.419,800+,90-95%,30-40%,PA,Refinance-Rate-Term,Owner-Occupied,Condo
LN002650,2024-03-01,319627.89,3.333,700-749,70-80%,<30%,PA,Purchase,Owner-Occupied,Single-Family
LN002651,2022-02-01,276563.13,5.07,800+,70-80%,30-40%,MI,Purchase,Owner-Occupied,Multi-Unit
LN002652,2024-05-01,303265.46,2.786,<600,70-80%,30-40%,FL,Purchase,Owner-Occupied,Single-Family
LN002653,2022-03-01,246294.05,4.679,750-799,80-90%,40-50%,MI,Purchase,Owner-Occupied,Single-Family
LN002654,2023-04-01,188983.31,7.453,650-699,70-80%,<30%,NC,Refinance-Rate-Term,Owner-Occupied,Single-Family
LN002655,2024-06-01,361433.59,4.942,600-649,>95%,40-50%,MI,Refinance-Rate-Term,Owner-Occupied,Single-Family
LN002656,2022-02-01,53693.61,2.5,700-749,70-80%,<30%,FL,Refinance-Rate-Term,Owner-Occupied,Condo
LN002657,2023-05-01,219840.44,5.27,650-699,>95%,30-40%,CA,Refinance-Cashout,Owner-Occupied,Single-Family
LN002658,2022-12-01,378649.02,6.228,750-799,90-95%,30-40%,TX,Purchase,Owner-Occupied,Single-Family
LN002659,2024-11-01,209916.16,3.807,700-749,80-90%,30-40%,NY,Purchase,Owner-Occupied,Single-Family
LN002660,2022-01-01,339167.54,4.552,700-749,70-80%,>50%,NY,Purchase,Owner-Occupied,Single-Family
LN002661,2023-03-01,219974.09,3.683,650-699,70-80%,30-40%,TX,Refinance-Cashout,Second Home,Single-Family
LN002662,2024-02-01,254415.51,4.307,700-749,80-90%,30-40%,MI,Purchase,Owner-Occupied,Single-Family
LN002663,2023-09-01,357492.05,4.002,750-799,70-80%,>50%,PA,Refinance-Cashout,Investment,Multi-Unit
LN002664,2024-07-01,172215.17,5.654,700-749,80-90%,30-40%,PA,Refinance-Rate-Term,Owner-Occupied,Condo
LN002665,2024-01-01,374527.83,7.487,700-749,80-90%,30-40%,FL,Refinance-Rate-Term,Owner-Occupied,Single-Family
LN002666,2023-11-01,304592.05,5.086,700-749,70-80%,30-40%,CA,Purchase,Owner-Occupied,Single-Family
LN002667,2023-12-01,425643.89,2.687,700-749,70-80%,>50%,MI,Purchase,Owner-Occupied,Single-Family
LN002668,2024-04-01,320815.0,8.794,700-749,60-70%,40-50%,NC,Purchase,Owner-Occupied,Single-Family
LN002669,2023-09-01,193051.34,5.874,800+,60-70%,40-50%,NY,Purchase,Owner-Occupied,Multi-Unit
LN002670,2023-06-01,472799.44,6.18,750-799,90-95%,40-50%,NC,Refinance-Cashout,Owner-Occupied,Single-Family
LN002671,2024-12-01,201405.71,4.904,700-749,80-90%,40-50%,IL,Refinance-Rate-Term,Owner-Occupied,Single-Family
LN002672,2024-11-01,277284.39,5.349,700-749,<60%,40-50%,OH,Refinance-Cashout,Owner-Occupied,Single-Family
LN002673,2022-09-01,395740.89,4.487,700-749,90-95%,<30%,FL,Purchase,Second Home,Single-Family
LN002674,2024-06-01,112007.22,6.356,750-799,<60%,<30%,FL,Purchase,Owner-Occupied,Single-Family
LN002675,2024-10-01,443966.9,4.284,700-749,70-80%,30-40%,GA,Refinance-Rate-Term,Owner-Occupied,Single-Family
LN002676,2024-08-01,184911.57,5.734,750-799,<60%,40-50%,CA,Purchase,Owner-Occupied,Single-Family
LN002677,2022-03-01,254500.06,6.454,650-699,>95%,40-50%,GA,Refinance-Cashout,Owner-Occupied,Single-Family
LN002678,2022-03-01,328885.79,6.869,700-749,>95%,30-40%,GA,Refinance-Rate-Term,Owner-Occupied,Multi-Unit
LN002679,2024-04-01,295829.41,6.548,750-799,70-80%,<30%,FL,Purchase,Owner-Occupied,Single-Family
LN002680,2023-03-01,378917.61,3.465,650-699,70-80%,30-40%,CA,Refinance-Rate-Term,Owner-Occupied,Condo
LN002681,2023-11-01,139919.24,7.359,800+,70-80%,40-50%,NC,Refinance-Rate-Term,Owner-Occupied,Condo
LN002682,2022-11-01,372745.14,5.996,650-699,80-90%,30-40%,NY,Purchase,Owner-Occupied,Single-Family
LN002683,2024-08-01,380724.24,5.458,650-699,60-70%,40-50%,OH,Purchase,Second Home,Single-Family
LN002684,2024-12-01,402922.58,5.631,700-749,70-80%,<30%,NC,Purchase,Owner-Occupied,Single-Family
LN002685,2024-09-01,141033.92,4.762,750-799,80-90%,40-50%,FL,Purchase,Investment,Single-Family
LN002686,2023-12-01,153106.48,4.3,750-799,70-80%,40-50%,IL,Refinance-Rate-Term,Investment,Single-Family
LN002687,2024-10-01,265762.44,4.447,650-699,<60%,40-50%,MI,Purchase,Second Home,Single-Family
LN002688,2024-04-01,163917.42,6.932,650-699,70-80%,30-40%,FL,Refinance-Rate-Term,Owner-Occupied,Single-Family
LN002689,2022-07-01,119603.21,5.122,700-749,80-90%,40-50%,IL,Purchase,Owner-Occupied,Single-Family
LN002690,2022-04-01,261453.59,5.423,650-699,>95%,30-40%,TX,Refinance-Cashout,Owner-Occupied,Single-Family
LN002691,2022-01-01,323409.14,5.09,700-749,<60%,>50%,NY,Refinance-Cashout,Investment,Single-Family
LN002692,2022-01-01,579897.95,3.998,700-749,70-80%,30-40%,TX,Refinance-Rate-Term,Owner-Occupied,Single-Family
LN002693,2023-08-01,354867.52,2.5,700-749,70-80%,30-40%,FL,Purchase,Owner-Occupied,Multi-Unit
LN002694,2023-07-01,475227.0,6.153,650-699,60-70%,40-50%,IL,Purchase,Investment,Single-Family
LN002695,2024-05-01,295584.89,5.994,650-699,70-80%,30-40%,NC,Purchase,Second Home,Condo
LN002696,2022-10-01,355956.6,4.983,700-749,60-70%,40-50%,FL,Purchase,Owner-Occupied,Single-Family
LN002697,2023-06-01,285386.23,3.365,600-649,70-80%,<30%,MI,Purchase,Owner-Occupied,Single-Family
LN002698,2024-04-01,568312.32,7.731,700-749,80-90%,30-40%,PA,Refinance-Cashout,Owner-Occupied,Single-Family
LN002699,2024-11-01,231440.91,4.488,750-799,70-80%,>50%,NY,Purchase,Owner-Occupied,Single-Family
LN002700,2024-07-01,245002.57,5.372,600-649,>95%,>50%,NY,Purchase,Investment,Single-Family
LN002701,2024-03-01,379654.07,3.945,600-649,70-80%,30-40%,MI,Purchase,Investment,Single-Family
LN002702,2022-11-01,320747.29,2.975,600-649,70-80%,<30%,MI,Refinance-Cashout,Owner-Occupied,Multi-Unit
LN002703,2022-05-01,257583.8,5.884,750-799,70-80%,30-40%,IL,Purchase,Owner-Occupied,Single-Family
LN002704,2022-08-01,396037.71,2.749,600-649,60-70%,30-40%,OH,Purchase,Owner-Occupied,Multi-Unit
LN002705,2024-10-01,295885.28,5.344,800+,90-95%,30-40%,NY,Refinance-Cashout,Owner-Occupied,Single-Family
LN002706,2022-12-01,295180.33,5.348,700-749,80-90%,30-40%,GA,Purchase,Owner-Occupied,Single-Family
LN002707,2022-01-01,323058.23,3.32,650-699,70-80%,40-50%,NC,Refinance-Rate-Term,Owner-Occupied,Single-Family
LN002708,2024-07-01,126587.93,3.055,600-649,80-90%,<30%,NC,Refinance-Rate-Term,Investment,Condo
LN002709,2022-04-01,140674.6,3.844,700-749,>95%,40-50%,NC,Purchase,Investment,Single-Family
LN002710,2022-05-01,408689.56,4.059,700-749,<60%,40-50%,TX,Purchase,Owner-Occupied,Single-Family
LN002711,2024-06-01,232303.83,2.705,700-749,70-80%,40-50%,FL,Refinance-Cashout,Owner-Occupied,Single-Family
LN002712,2023-12-01,286704.87,3.312,650-699,60-70%,30-40%,IL,Purchase,Owner-Occupied,Single-Family
LN002713,2022-03-01,461243.86,5.114,700-749,90-95%,40-50%,CA,Purchase,Owner-Occupied,Single-Family
LN002714,2022-11-01,291213.25,7.984,650-699,60-70%,40-50%,NY,Purchase,Owner-Occupied,Single-Family
LN002715,2022-04-01,278991.12,6.511,700-749,70-80%,40-50%,IL,Purchase,Owner-Occupied,Single-Family
LN002716,2024-02-01,389607.76,5.241,650-699,70-80%,<30%,NC,Purchase,Owner-Occupied,Single-Family
LN002717,2024-03-01,240173.51,6.693,750-799,70-80%,<30%,GA,Refinance-Cashout,Owner-Occupied,Condo
LN002718,2024-03-01,420292.92,6.733,650-699,80-90%,40-50%,CA,Refinance-Cashout,Second Home,Condo
LN002719,2022-06-01,387555.79,4.543,700-749,70-80%,30-40%,FL,Purchase,Investment,Single-Family
LN002720,2023-03-01,483033.32,5.387,700-749,70-80%,>50%,FL,Purchase,Owner-Occupied,Single-Family
LN002721,2024-06-01,230965.7,6.467,<600,>95%,30-40%,PA,Purchase,Owner-Occupied,Single-Family
LN002722,2024-11-01,436697.46,6.672,700-749,70-80%,<30%,NY,Refinance-Cashout,Owner-Occupied,Single-Family
LN002723,2023-11-01,355409.21,6.686,650-699,60-70%,30-40%,NY,Purchase,Owner-Occupied,Single-Family
LN002724,2022-06-01,167463.36,3.459,600-649,80-90%,30-40%,CA,Purchase,Owner-Occupied,Single-Family
LN002725,2022-04-01,50000.0,6.763,800+,80-90%,30-40%,MI,Refinance-Cashout,Owner-Occupied,Multi-Unit
LN002726,2023-06-01,220197.31,7.787,650-699,70-80%,40-50%,NY,Purchase,Owner-Occupied,Multi-Unit
LN002727,2022-09-01,329234.78,7.24,700-749,60-70%,40-50%,CA,Purchase,Owner-Occupied,Single-Family
LN002728,2024-05-01,343734.79,3.372,750-799,80-90%,<30%,IL,Purchase,Owner-Occupied,Single-Family
LN002729,2023-01-01,294091.89,2.995,650-699,80-90%,40-50%,FL,Refinance-Rate-Term,Owner-Occupied,Single-Family
LN002730,2023-05-01,294987.06,5.698,750-799,90-95%,30-40%,MI,Refinance-Rate-Term,Owner-Occupied,Single-Family
LN002731,2024-08-01,287400.65,7.212,650-699,80-90%,30-40%,IL,Refinance-Rate-Term,Owner-Occupied,Multi-Unit
LN002732,2023-10-01,403121.71,5.339,700-749,60-70%,40-50%,FL,Purchase,Owner-Occupied,Single-Family
LN002733,2022-04-01,156371.03,4.648,750-799,80-90%,30-40%,IL,Purchase,Owner-Occupied,Single-Family
LN002734,2022-05-01,326828.99,4.865,800+,60-70%,30-40%,NY,Refinance-Rate-Term,Owner-Occupied,Single-Family
LN002735,2023-01-01,217724.87,6.531,700-749,90-95%,40-50%,NC,Refinance-Cashout,Investment,Condo
LN002736,2024-10-01,209345.89,4.518,700-749,80-90%,40-50%,PA,Purchase,Second Home,Condo
LN002737,2023-10-01,417623.06,5.721,700-749,70-80%,30-40%,MI,Purchase,Owner-Occupied,Single-Family
LN002738,2023-11-01,201673.69,4.804,650-699,70-80%,30-40%,TX,Refinance-Rate-Term,Owner-Occupied,Condo
LN002739,2022-03-01,286048.18,3.667,750-799,60-70%,30-40%,CA,Purchase,Owner-Occupied,Condo
LN002740,2024-10-01,495849.84,3.55,650-699,<60%,<30%,CA,Purchase,Owner-Occupied,Single-Family
LN002741,2024-08-01,383807.7,5.788,700-749,70-80%,40-50%,CA,Purchase,Second Home,Single-Family
LN002742,2023-09-01,254502.97,2.5,700-749,80-90%,30-40%,NC,Refinance-Cashout,Owner-Occupied,Single-Family
LN002743,2023-09-01,262762.69,5.719,750-799,70-80%,<30%,IL,Refinance-Rate-Term,Owner-Occupied,Single-Family
LN002744,2022-11-01,177279.71,4.744,700-749,60-70%,30-40%,NY,Purchase,Second Home,Single-Family
LN002745,2022-04-01,430064.52,6.419,750-799,80-90%,<30%,MI,Refinance-Cashout,Owner-Occupied,Condo
LN002746,2022-01-01,401135.18,5.902,650-699,60-70%,40-50%,IL,Purchase,Owner-Occupied,Condo
LN002747,2024-04-01,368660.23,5.067,650-699,80-90%,30-40%,NC,Purchase,Owner-Occupied,Single-Family
LN002748,2023-12-01,379683.29,3.399,700-749,70-80%,30-40%,FL,Purchase,Owner-Occupied,Condo
LN002749,2024-11-01,222547.54,3.48,700-749,70-80%,>50%,FL,Purchase,Owner-Occupied,Condo
LN002750,2023-01-01,145208.76,4.033,700-749,70-80%,30-40%,TX,Refinance-Cashout,Owner-Occupied,Single-Family
LN002751,2024-10-01,356054.04,6.303,750-799,90-95%,30-40%,GA,Purchase,Owner-Occupied,Single-Family
LN002752,2022-11-01,388855.79,7.653,650-699,<60%,40-50%,OH,Purchase,Owner-Occupied,Single-Family
LN002753,2024-12-01,460704.67,5.495,700-749,60-70%,30-40%,TX,Refinance-Cashout,Owner-Occupied,Single-Family
LN002754,2023-05-01,279910.98,4.116,650-699,70-80%,>50%,NY,Purchase,Investment,Single-Family
LN002755,2024-11-01,265324.87,4.272,650-699,90-95%,40-50%,OH,Purchase,Investment,Single-Family
LN002756,2023-06-01,276073.98,4.341,600-649,<60%,>50%,CA,Purchase,Owner-Occupied,Condo
LN002757,2023-10-01,367074.38,6.56,750-799,80-90%,30-40%,CA,Refinance-Cashout,Owner-Occupied,Single-Family
LN002758,2023-12-01,271791.07,4.312,700-749,80-90%,30-40%,GA,Purchase,Investment,Single-Family
LN002759,2023-07-01,294776.09,4.934,650-699,70-80%,40-50%,PA,Purchase,Investment,Multi-Unit
LN002760,2023-09-01,383105.29,7.017,700-749,70-80%,>50%,TX,Purchase,Second Home,Condo
LN002761,2022-08-01,237416.38,4.149,700-749,70-80%,>50%,MI,Refinance-Cashout,Owner-Occupied,Condo
LN002762,2024-04-01,439115.4,5.836,750-799,70-80%,40-50%,MI,Refinance-Cashout,Owner-Occupied,Single-Family
LN002763,2022-05-01,363308.9,6.351,700-749,80-90%,40-50%,CA,Purchase,Owner-Occupied,Single-Family
LN002764,2023-05-01,114237.94,5.095,<600,<60%,<30%,FL,Refinance-Cashout,Owner-Occupied,Single-Family
LN002765,2024-12-01,248464.58,7.931,800+,70-80%,30-40%,NY,Refinance-Cashout,Owner-Occupied,Single-Family
LN002766,2023-07-01,97565.65,7.498,600-649,70-80%,<30%,IL,Refinance-Rate-Term,Investment,Single-Family
LN002767,2024-03-01,280332.06,5.395,750-799,70-80%,<30%,MI,Refinance-Rate-Term,Owner-Occupied,Single-Family
LN002768,2024-10-01,250168.89,3.794,700-749,70-80%,30-40%,FL,Purchase,Investment,Multi-Unit
LN002769,2022-11-01,383485.48,3.865,650-699,90-95%,<30%,IL,Refinance-Rate-Term,Owner-Occupied,Single-Family
LN002770,2022-12-01,211898.17,5.319,750-799,70-80%,30-40%,OH,Refinance-Rate-Term,Owner-Occupied,Single-Family
LN002771,2023-09-01,338773.5,3.365,600-649,60-70%,>50%,NC,Purchase,Owner-Occupied,Single-Family
LN002772,2022-11-01,356884.76,5.403,750-799,<60%,30-40%,IL,Purchase,Owner-Occupied,Single-Family
LN002773,2024-04-01,325719.49,7.532,650-699,70-80%,<30%,NY,Purchase,Owner-Occupied,Single-Family
LN002774,2022-05-01,414012.36,5.094,700-749,70-80%,40-50%,MI,Refinance-Cashout,Second Home,Condo
LN002775,2023-05-01,506828.89,4.972,700-749,80-90%,40-50%,NC,Refinance-Rate-Term,Investment,Single-Family
LN002776,2023-08-01,311194.19,6.28,<600,70-80%,30-40%,GA,Purchase,Owner-Occupied,Single-Family
LN002777,2022-12-01,340517.95,5.787,700-749,80-90%,30-40%,IL,Refinance-Cashout,Owner-Occupied,Single-Family
LN002778,2022-06-01,211972.3,3.278,750-799,90-95%,30-40%,NC,Refinance-Rate-Term,Owner-Occupied,Condo
LN002779,2023-05-01,198047.66,4.317,750-799,<60%,30-40%,NC,Refinance-Cashout,Owner-Occupied,Multi-Unit
LN002780,2023-07-01,403382.97,7.841,700-749,80-90%,<30%,CA,Purchase,Second Home,Single-Family
LN002781,2024-02-01,390152.55,5.488,750-799,<60%,40-50%,PA,Purchase,Owner-Occupied,Single-Family
LN002782,2024-08-01,197038.01,3.49,800+,70-80%,40-50%,IL,Refinance-Rate-Term,Owner-Occupied,Single-Family
LN002783,2022-06-01,169177.95,4.712,650-699,70-80%,40-50%,PA,Purchase,Owner-Occupied,Condo
LN002784,2024-12-01,235126.32,2.5,700-749,80-90%,30-40%,MI,Purchase,Owner-Occupied,Single-Family
LN002785,2022-11-01,285862.2,2.5,650-699,70-80%,30-40%,FL,Purchase,Owner-Occupied,Condo
LN002786,2024-09-01,259087.36,6.473,750-799,80-90%,30-40%,FL,Refinance-Rate-Term,Owner-Occupied,Multi-Unit
LN002787,2023-12-01,316051.49,4.993,750-799,70-80%,30-40%,MI,Purchase,Owner-Occupied,Single-Family
LN002788,2023-11-01,391706.25,5.778,750-799,70-80%,40-50%,IL,Purchase,Owner-Occupied,Single-Family
LN002789,2023-03-01,346210.44,6.737,800+,60-70%,>50%,OH,Purchase,Owner-Occupied,Single-Family
LN002790,2024-03-01,353612.1,5.509,650-699,80-90%,<30%,NY,Purchase,Owner-Occupied,Single-Family
LN002791,2022-11-01,54846.36,6.1,<600,<60%,>50%,PA,Refinance-Cashout,Investment,Condo
LN002792,2023-05-01,138609.7,5.386,650-699,70-80%,>50%,IL,Purchase,Owner-Occupied,Single-Family
LN002793,2023-02-01,220354.32,6.93,700-749,70-80%,<30%,TX,Purchase,Owner-Occupied,Single-Family
LN002794,2024-03-01,236860.64,7.66,700-749,60-70%,<30%,CA,Purchase,Owner-Occupied,Single-Family
LN002795,2023-06-01,383982.78,5.299,750-799,<60%,30-40%,PA,Purchase,Second Home,Single-Family
LN002796,2024-04-01,212109.86,5.236,650-699,60-70%,30-40%,IL,Refinance-Cashout,Owner-Occupied,Single-Family
LN002797,2022-04-01,366692.77,5.48,700-749,70-80%,<30%,NC,Refinance-Cashout,Owner-Occupied,Single-Family
